CSTRAT,ELAB,MEMO,READING,ESCS,GENDER,IMMIGR
0.7826,1.1676,-3.0191,453.5,1.4235,1,0
-0.5485,-1.5227,-0.5436,493.62,-0.8023,1,0
0.2159,1.4986,-0.2055,666.32,0.5243,1,0
0.2159,0.6034,0.6832,566.39,0.3131,1,0
0.4861,0.0385,0.3684,615.48,-0.5225,1,0
-0.5485,-2.4098,-0.5436,665.05,-0.5103,1,0
-0.0411,-1.0185,-0.2055,405.13,-1.2031,1,0
-1.0786,-2.4098,-0.2055,412.04,-0.9062,1,0
-0.5485,0.0385,-0.9276,522.62,-0.5736,1,0
-1.0786,-1.0185,-1.9702,406.24,0.162,1,0
2.504,1.9347,1.7893,437.78,-0.4111,1,0
-1.6827,-1.5227,-1.3817,355.24,0.183,1,0
-0.8077,0.0385,-1.3817,604.84,-0.1648,1,0
-0.0411,0.0385,0.1036,427.82,0.6966,0,0
-0.2945,0.6034,-0.9276,463.58,-0.3191,0,0
-2.0532,-1.0185,-3.0191,460.93,-0.1434,0,0
0.7826,0.3277,0.1036,630.33,0.9756,0,0
0.4861,0.3277,0.9843,576.13,0.7649,0,0
-1.0786,-0.2743,-0.5436,321.52,-0.3793,0,0
-3.4531,-2.4098,-3.0191,320.48,-0.916,0,0
1.6056,0.5117,9999,593.69,0.2331,0,0
-0.6994,0.0385,0.395,393.03,0.1998,0,0
-0.5485,-0.2743,-0.0276,305.41,-2.8371,0,1
1.6056,-0.2743,0.1036,385.57,-0.4736,0,0
-1.0786,-0.2743,-0.5436,444.34,0.2957,0,0
0.2159,0.8778,0.395,394.95,1.9257,0,0
-0.8077,-0.2743,-0.5436,404.57,0.5331,1,0
0.2159,-1.0185,0.6832,448.58,0.8455,1,1
-0.8077,-1.5227,-0.9276,539.06,-0.3536,1,0
0.4861,0.0385,-0.5436,617.87,0.506,1,0
-0.8077,0.0385,-0.5436,476.78,0.6658,1,0
-0.5485,-0.2743,-0.5436,542.32,0.2906,1,0
0.4861,0.3277,0.1036,571.39,0.3985,1,0
0.7826,-0.6208,-0.9276,467.96,-0.2677,1,0
-0.8077,0.3277,0.6832,525.32,0.16,1,0
-1.0786,-0.2743,-0.9276,401.71,0.064,1,9999
-3.4531,-2.4098,-3.0191,453.72,-0.4144,0,0
-0.2945,1.4986,0.395,626.08,1.0804,0,0
-0.0411,-1.5227,-0.9276,499.5,-1.4134,1,0
-0.8077,0.3277,-0.2055,488.99,0.726,0,1
-1.0786,-0.2743,-0.5436,508.07,0.4401,0,0
-0.0411,0.3277,-0.2055,521.22,0.1623,0,0
-1.0786,-0.2743,-0.5436,425.58,0.9649,0,0
-3.4531,-2.4098,-3.0191,337.23,0.1669,0,0
-0.8077,0.0385,-1.3817,488.43,-0.6703,0,0
0.4861,-1.0185,-0.5436,517.93,-0.4485,0,0
-3.4531,-2.4098,-3.0191,525.07,1.2389,0,0
-0.2945,-1.0185,0.395,459.57,-0.7478,0,0
0.2159,-0.6208,0.1036,584.15,-0.3902,0,0
-1.6827,-2.4098,-1.3817,533.8,-1.0216,0,1
1.6056,-2.4098,0.9843,498.93,0.3565,0,0
0.7826,-0.6208,0.9843,604.91,0.7869,0,1
-2.0532,-1.5227,0.395,359.76,-0.0984,0,0
-1.0786,-0.2743,-0.5436,442.49,0.3053,0,0
-0.5485,0.3277,0.395,513.84,-0.4454,0,1
-0.8077,-1.5227,-1.3817,547.35,1.5035,0,0
-0.2945,0.6034,-0.9276,465.9,0.4109,0,0
-1.6827,-0.2743,-1.0106,393.35,-0.1935,0,0
-1.3664,-0.2743,-0.9276,385.49,1.5264,0,0
-3.4531,-2.4098,-3.0191,354.63,-0.9442,0,0
0.2159,1.4986,-0.2055,551.2,0.053,0,0
9999,9999,9999,459.17,0.2164,0,1
-0.8077,-2.4098,-1.9702,574.21,-0.6851,0,0
-1.0786,-0.2743,-0.5436,399.28,-0.8599,0,0
-3.4531,-2.4098,-3.0191,451.55,-0.7231,0,0
-0.8077,-0.2743,-0.2055,326,0.3581,1,0
-0.8077,0.0385,-0.2055,385.5,-0.2632,1,0
-1.3664,-0.6208,0.395,527.54,0.6338,1,0
-1.3664,-1.5227,-1.3817,380.34,-0.9079,1,0
1.1341,0.0385,-0.5436,516.1,-0.3423,1,0
1.1341,0.8778,0.9843,411.24,-1.0171,1,1
0.2159,1.1676,1.3297,412.75,0.7649,1,0
-1.3664,-2.4098,-0.5436,487.74,-0.2991,1,0
-0.0411,0.3277,0.1036,605.31,1.5792,0,0
-0.2945,-1.0185,0.9843,464.94,0.3145,1,0
0.2159,0.0385,-0.2055,611.03,1.1403,1,0
0.4861,0.6034,0.9843,493.22,0.8492,1,0
1.6056,0.6034,0.1036,568.61,1.5264,1,0
