CNT,SCHOOLID,StIDStd,ST24Q01,ST24Q02,ST24Q03,ST24Q04,ST24Q05,ST24Q06,ST24Q07,ST24Q08,ST24Q09,ST24Q10,ST24Q11,ST27Q01,ST27Q02,ST27Q03,ST27Q04,ST27Q05,ST27Q06,ST27Q07,ST27Q08,ST27Q09,ST27Q10,ST27Q11,ST27Q12,ST27Q13,CSTRAT,ELAB,MEMOR,rcomb1,ESCS,gender,immig2
USA,00001,00010,1,3,3,1,3,1,4,2,1,3,4,1,2,1,3,1,3,1,2,4,4,4,4,4,0.7826,1.1676,-3.0191,453.5,1.4235,1,0
USA,00001,00025,2,2,2,2,2,2,3,2,2,3,2,2,3,3,2,1,2,2,1,2,1,3,1,2,-0.5485,-1.5227,-0.5436,493.62,-0.8023,1,0
USA,00001,00012,1,4,4,1,4,1,4,1,1,4,4,1,3,2,4,2,3,4,3,3,4,3,3,3,0.2159,1.4986,-0.2055,666.32,0.5243,1,0
USA,00001,00017,1,4,4,2,4,1,4,1,1,4,3,3,3,4,3,2,3,3,2,3,2,3,4,3,0.2159,0.6034,0.6832,566.39,0.3131,1,0
USA,00001,00011,1,4,4,1,4,1,3,2,2,3,3,2,4,3,3,3,3,,2,3,2,3,2,3,0.4861,0.0385,0.3684,615.48,-0.5225,1,0
USA,00001,00022,2,4,3,2,4,1,4,2,1,3,3,2,2,2,1,2,3,2,1,3,1,2,1,2,-0.5485,-2.4098,-0.5436,665.05,-0.5103,1,0
USA,00001,00019,2,3,3,2,3,2,3,2,2,2,3,2,4,3,2,2,3,2,1,2,1,3,2,2,-0.0411,-1.0185,-0.2055,405.13,-1.2031,1,0
USA,00001,00015,2,2,2,2,1,2,2,2,2,2,2,3,3,3,1,2,2,1,1,2,1,2,1,1,-1.0786,-2.4098,-0.2055,412.04,-0.9062,1,0
USA,00001,00004,2,2,1,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,3,3,-0.5485,0.0385,-0.9276,522.62,-0.5736,1,0
USA,00001,00005,1,1,1,1,1,1,3,2,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,-1.0786,-1.0185,-1.9702,406.24,0.162,1,0
USA,00001,00014,1,4,4,1,4,1,4,1,1,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,2.504,1.9347,1.7893,437.78,-0.4111,1,0
USA,00001,00001,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,-1.6827,-1.5227,-1.3817,355.24,0.183,1,0
USA,00001,00023,,4,3,1,4,1,4,2,1,3,3,2,2,2,4,1,4,1,1,1,2,2,2,2,-0.8077,0.0385,-1.3817,604.84,-0.1648,1,0
USA,00001,00024,1,3,2,2,3,1,2,2,1,2,2,3,3,3,3,3,3,1,2,2,2,2,2,4,-0.0411,0.0385,0.1036,427.82,0.6966,0,0
USA,00001,00013,2,3,4,1,3,1,3,2,1,3,3,2,2,2,3,1,3,2,2,3,4,2,2,3,-0.2945,0.6034,-0.9276,463.58,-0.3191,0,0
USA,00001,00016,2,3,1,2,3,2,3,2,2,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,-2.0532,-1.0185,-3.0191,460.93,-0.1434,0,0
USA,00001,00002,2,3,3,1,3,2,3,2,2,3,3,3,4,3,3,2,4,2,2,2,2,3,3,4,0.7826,0.3277,0.1036,630.33,0.9756,0,0
USA,00001,00020,1,3,4,2,3,1,3,2,2,3,2,3,3,3,3,4,3,3,2,3,3,4,2,3,0.4861,0.3277,0.9843,576.13,0.7649,0,0
USA,00001,00026,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.0786,-0.2743,-0.5436,321.52,-0.3793,0,0
USA,00001,00007,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.4531,-2.4098,-3.0191,320.48,-0.916,0,0
USA,00001,00006,,,,,,,,,,,,,3,,3,,4,,,4,,4,,4,1.6056,0.5117,,593.69,0.2331,0,0
USA,00001,00018,1,1,1,1,1,1,1,2,2,1,2,2,,3,2,3,1,3,2,2,3,2,2,4,-0.6994,0.0385,0.395,393.03,0.1998,0,0
USA,00001,00009,1,4,3,2,2,2,3,2,2,3,2,2,3,3,1,2,2,,3,1,1,4,3,2,-0.5485,-0.2743,-0.0276,305.41,-2.8371,0,1
USA,00001,00003,1,1,1,1,1,1,1,1,1,4,1,4,4,4,4,1,4,1,1,4,2,3,1,4,1.6056,-0.2743,0.1036,385.57,-0.4736,0,0
USA,00001,00008,1,4,4,1,4,1,4,1,1,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.0786,-0.2743,-0.5436,444.34,0.2957,0,0
USA,00001,00021,2,3,3,1,1,1,3,2,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,0.2159,0.8778,0.395,394.95,1.9257,0,0
USA,00002,00029,2,1,2,2,2,2,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,-0.8077,-0.2743,-0.5436,404.57,0.5331,1,0
USA,00002,00031,2,3,2,2,2,1,4,1,2,3,3,3,2,4,1,2,4,3,1,2,2,4,2,3,0.2159,-1.0185,0.6832,448.58,0.8455,1,1
USA,00002,00059,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,1,2,2,1,2,1,2,1,2,-0.8077,-1.5227,-0.9276,539.06,-0.3536,1,0
USA,00002,00039,1,3,3,1,3,1,4,1,1,3,2,2,2,3,3,1,3,2,2,4,2,4,2,3,0.4861,0.0385,-0.5436,617.87,0.506,1,0
USA,00002,00055,2,2,3,1,3,1,3,1,1,1,3,3,3,2,3,1,2,2,2,2,2,2,2,2,-0.8077,0.0385,-0.5436,476.78,0.6658,1,0
USA,00002,00040,2,3,1,1,1,1,3,2,1,1,3,2,1,3,2,1,3,2,1,1,2,3,3,4,-0.5485,-0.2743,-0.5436,542.32,0.2906,1,0
USA,00002,00057,1,4,3,1,4,1,4,1,1,4,3,3,4,3,3,2,3,2,2,2,2,3,3,4,0.4861,0.3277,0.1036,571.39,0.3985,1,0
USA,00002,00063,1,2,2,1,1,1,2,2,2,2,2,2,3,1,2,1,3,3,1,4,2,4,2,3,0.7826,-0.6208,-0.9276,467.96,-0.2677,1,0
USA,00002,00036,1,1,1,2,1,2,3,2,2,3,1,4,3,4,4,2,2,2,2,2,2,3,2,1,-0.8077,0.3277,0.6832,525.32,0.16,1,0
